country,state,city,School Name,Site Name,Userid,Latitude,Longitude,Elevation,Measured At,Solar Measured At,Solar Noon At,Average Surface Temperature C,Surface Condition,Average Snow Depth Mm,Snow Depth Flag,Number Of Samples Taken,Surface Cover Type,Homogeneous Site Short Length M,Homogeneous Site Long Length M,Site Area M Squared
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,9/1/17 19:00,9/1/17 13:18,9/1/17 17:40,-0.4,dry,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,23/1/17 0:00,22/1/17 18:13,23/1/17 17:45,4,wet,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,27/1/17 5:00,26/1/17 23:12,27/1/17 17:46,13,,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,27/1/17 0:00,26/1/17 18:12,27/1/17 17:46,-6.7,snow,,zero,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,30/1/17 19:00,30/1/17 13:11,30/1/17 17:46,13,snow,5,trace,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,3/2/17 8:59,3/2/17 3:09,3/2/17 17:47,-9,dry,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,6/2/17 19:00,6/2/17 13:10,6/2/17 17:47,18,dry,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,10/2/17 13:50,10/2/17 8:00,10/2/17 17:47,-5.5,snow,5,trace,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,17/2/17 14:00,17/2/17 8:10,17/2/17 17:47,-4,dry,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,24/2/17 8:45,24/2/17 2:55,24/2/17 17:46,6,wet,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,24/2/17 9:01,24/2/17 3:11,24/2/17 17:46,8.4,wet,,,9,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,27/2/17 2:00,26/2/17 20:11,27/2/17 17:46,15,dry,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,27/2/17 2:05,26/2/17 20:16,27/2/17 17:46,21.8,dry,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,3/3/17 9:02,3/3/17 3:14,3/3/17 17:45,-4,,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,6/3/17 19:00,6/3/17 13:12,6/3/17 17:44,13.8,,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,20/3/17 0:00,19/3/17 18:17,20/3/17 17:41,44.7,,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,31/3/17 18:00,31/3/17 12:21,31/3/17 17:37,5.7,,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,3/4/17 0:00,2/4/17 18:22,3/4/17 17:36,46.9,,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,10/4/17 18:00,10/4/17 12:24,10/4/17 17:34,31,,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,18/4/17 13:00,18/4/17 7:27,18/4/17 17:32,32.2,,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,24/4/17 2:00,23/4/17 20:28,24/4/17 17:31,33.4,,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,1/5/17 2:00,30/4/17 20:29,1/5/17 17:30,45.6,,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,8/5/17 2:00,7/5/17 20:30,8/5/17 17:30,29.6,,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,17/5/17 10:00,17/5/17 4:30,17/5/17 17:30,25.7,,,,2,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,17/5/17 18:30,17/5/17 13:00,17/5/17 17:30,38.7,,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,21/8/17 14:22,21/8/17 8:44,21/8/17 17:36,35,,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,21/8/17 9:10,21/8/17 3:32,21/8/17 17:36,25,,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,8/9/17 12:45,8/9/17 7:14,8/9/17 17:31,15,,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,12/9/17 0:00,11/9/17 18:30,12/9/17 17:29,26.3,,,,9,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,22/9/17 13:00,22/9/17 7:34,22/9/17 17:26,21.3,,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,29/9/17 12:50,29/9/17 7:27,29/9/17 17:23,8.8,,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,6/10/17 12:49,6/10/17 7:29,6/10/17 17:21,20,,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,13/10/17 13:00,13/10/17 7:42,13/10/17 17:19,12.5,,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,17/10/17 6:18,17/10/17 1:01,17/10/17 17:18,19.4,,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,20/10/17 12:55,20/10/17 7:38,20/10/17 17:18,3.6,,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,27/10/17 12:47,27/10/17 7:31,27/10/17 17:17,8.3,,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,8/11/17 13:50,8/11/17 8:34,8/11/17 17:17,-3.8,,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,14/11/17 7:00,14/11/17 1:43,14/11/17 17:18,11.4,,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,28/11/17 7:20,28/11/17 1:59,28/11/17 17:21,17.2,,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,6/4/18 12:45,6/4/18 7:08,6/4/18 17:36,35.1,wet,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,10/4/18 6:28,10/4/18 0:52,10/4/18 17:34,10.3,wet,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,13/4/18 12:50,13/4/18 7:15,13/4/18 17:34,3.1,dry,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,4/5/16 12:50,4/5/16 7:20,4/5/16 17:30,18.8,wet,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,11/9/18 14:20,11/9/18 8:50,11/9/18 17:30,30.5,dry,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,21/9/18 8:26,21/9/18 3:00,21/9/18 17:26,22.8,dry,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,25/9/18 18:23,25/9/18 12:59,25/9/18 17:25,20.7,wet,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,28/9/18 8:23,28/9/18 3:00,28/9/18 17:24,7.4,wet,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,2/10/18 18:22,2/10/18 13:00,2/10/18 17:23,23,dry,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,5/10/18 8:23,5/10/18 3:02,5/10/18 17:22,11.2,wet,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,16/10/18 2:15,15/10/18 20:58,16/10/18 17:19,13.6,dry,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,19/10/18 8:20,19/10/18 3:03,19/10/18 17:18,-1.2,wet,,,1,,,,
